name,gender,address,date_of_birth,nis,nisn,parent_name,parent_phone,semester,academic_year,present_count,sick_count,excused_count,unexcused_count,attendance_percentage,average_score,failed_subjects_count,incomplete_assignments_count,parents_income,monthly_expenses,parents_education_level,birth_order,dependents_count,has_kip_scholarship,is_working_student,has_internet_access,distance_to_school_km,housing_status,transportation_mode
Ade Irma,P,"Jl. Jend. Sudirman No. 21, Cilegon, Banten",2015-02-26,29857718,2514657998,Tubagus Arifin,086233433854,1,2026/2027,75,3,1,21,75,77.87,1,5,6600000,4800000,bachelor,3,5,True,True,True,13.98,OTHER,motorcycle
Aisha Farhana,P,"Jl. Veteran No. 9, Serang, Banten",2015-08-24,77030858,2517424260,Maman Suherman,087624473329,1,2026/2027,73,6,6,15,73,87.25,0,0,9300000,4100000,senior high school,1,5,True,False,True,8.59,RENTED,bus
Alia Amanda,P,"Jl. Tuparev No. 45, Karawang, Jawa Barat",2015-06-09,59332425,2511862506,Entis Sutisna,081027852995,1,2026/2027,88,1,7,4,88,94.89,1,1,2100000,3200000,bachelor,2,3,True,True,True,7.34,OWNED,motorcycle
Amanda Manopo,P,"Jl. Veteran No. 11, Purwakarta, Jawa Barat",2015-04-15,48214871,2512698281,Cecep Rahman,085619867090,1,2026/2027,89,2,1,8,89,67.71,1,5,4900000,7000000,bachelor,1,2,False,True,True,11.02,OWNED,motorcycle
Amelia Putri,P,"Jl. Otista No. 8, Subang, Jawa Barat",2015-08-03,80731764,2513742988,Deden Koswara,083224098699,1,2026/2027,72,3,5,20,72,78.32,0,0,3500000,5400000,bachelor,2,5,False,True,True,4.59,OWNED,bus
Anisa Rahma,P,"Jl. Geusan Ulun No. 34, Sumedang, Jawa Barat",2015-12-05,76007282,2513953656,Yayan Ruhian,082524054538,1,2026/2027,68,6,7,19,68,80.47,0,0,1400000,3400000,senior high school,1,1,False,True,True,3.46,OWNED,bus
Anita Sari,P,"Jl. Ahmad Yani No. 55, Garut, Jawa Barat",2015-12-19,67891779,2510939486,Agus Junaedi,083991412960,1,2026/2027,68,9,6,17,68,84.38,0,0,6500000,6100000,bachelor,4,4,False,False,False,5.35,WITH_RELATIVES,motorcycle
Annisa Pohan,P,"Jl. Jend. Sudirman No. 12, Ciamis, Jawa Barat",2015-11-25,79969713,2518421728,Iwan Fals,088741028889,1,2026/2027,57,10,4,29,57,73.24,0,0,2800000,3600000,senior high school,1,3,False,True,True,9.43,OWNED,motorcycle
Aprilia Kartika,P,"Jl. Siliwangi No. 19, Kuningan, Jawa Barat",2015-10-27,87687092,2512122061,Udin Sedunia,085702028320,1,2026/2027,88,1,4,7,88,92.75,0,0,7000000,4200000,bachelor,1,4,False,False,False,3.29,RENTED,car
Arienda,P,"Jl. KH. Abdul Halim No. 7, Majalengka, Jawa Barat",2015-02-26,85728603,2510913896,Mamat Alkatiri,085396383546,1,2026/2027,76,3,4,17,76,91.29,0,0,3700000,6000000,senior high school,1,4,False,True,True,0.73,WITH_RELATIVES,walk
Arini Putri,P,"Jl. Jend. Sudirman No. 88, Indramayu, Jawa Barat",2015-07-22,93085208,2519133612,Taryono,088821694361,1,2026/2027,69,5,1,25,69,80.95,0,0,6400000,4800000,junior high school,1,5,False,False,False,2.32,OWNED,bicycle
Asri Welas,P,"Jl. Siliwangi No. 3, Cianjur, Jawa Barat",2015-01-12,83671824,2513288632,Endang Suhendar,082913348232,1,2026/2027,64,7,2,27,64,85.36,0,0,2300000,2300000,senior high school,1,1,False,True,False,0.2,OWNED,walk
Aulia Rahma,P,"Jl. Amir Mahmud No. 101, Cimahi, Jawa Barat",2015-04-08,53428926,2516909446,Ade Firman,089831811413,1,2026/2027,64,10,5,21,64,77.37,0,0,1600000,3700000,senior high school,1,4,False,True,False,11.61,OWNED,motorcycle
Ayu Tingting,P,"Jl. Letjen Suwarto No. 14, Banjar, Jawa Barat",2015-12-27,78368099,2515198224,Abdul Rozak,089378968863,1,2026/2027,66,8,2,24,66,93.32,0,0,1800000,4000000,bachelor,1,2,False,True,True,10.22,OWNED,motorcycle
Bunga Citra,P,"Jl. Raden Patah No. 5, Batam, Kepulauan Riau",2015-05-26,64112061,2518880333,Muchlis Permana,089929857895,1,2026/2027,65,10,0,25,65,71.77,0,0,5400000,3200000,senior high school,2,4,False,False,False,8.07,RENTED,bus
Citra Kirana,P,"Jl. Jend. Sudirman No. 42, Binjai, Sumatera Utara",2015-09-13,96454913,2514634566,Syarifuddin,085241583174,1,2026/2027,60,9,3,28,60,90.72,0,0,8300000,7300000,senior high school,1,2,False,False,False,9.65,OWNED,car
Cut Meyriska,P,"Jl. Merdeka No. 90, Pematangsiantar, Sumatera Utara",2015-04-17,93604670,2519838730,Suryadi,087903609455,1,2026/2027,71,8,2,19,71,74.91,1,1,8800000,3200000,bachelor,1,1,True,False,False,3.9,OTHER,bus
Dela Puspita,P,"Jl. Jend. Sudirman No. 18, Sibolga, Sumatera Utara",2015-08-15,37985063,2512947149,Bonar Situmorang,088552778794,1,2026/2027,79,7,4,10,79,96.4,0,0,6400000,4200000,bachelor,1,1,False,True,True,10.74,OWNED,car
Desi Ratnasari,P,"Jl. Jend. Ahmad Yani No. 7, Tanjungbalai, Sumatera Utara",2015-08-29,60872327,2514337965,Asrul Sani,080480765845,1,2026/2027,86,0,3,11,86,78.24,0,0,7300000,7000000,senior high school,1,3,False,False,True,7.11,RENTED,car
Dewi Persik,P,"Jl. Sutomo No. 31, Tebing Tinggi, Sumatera Utara",2015-11-05,55399524,2519943206,Mochammad Adil,087614438395,1,2026/2027,83,7,4,6,83,82.2,0,0,4100000,2400000,bachelor,1,2,False,False,True,7.62,OWNED,motorcycle
Diah Permata,P,"Jl. Sudirman No. 25, Bukittinggi, Sumatera Barat",2015-02-12,30598761,2514840901,Bustami,082749163116,1,2026/2027,71,8,6,15,71,99.71,0,0,5100000,5100000,bachelor,1,5,False,True,False,14.34,WITH_RELATIVES,bus
Dian Sastrowardoyo,P,"Jl. Jend. Ahmad Yani No. 12, Payakumbuh, Sumatera Barat",2015-09-13,89093826,2513882300,Ariawan Sastrowardoyo,086388039211,1,2026/2027,70,0,4,26,70,68.53,0,0,2500000,3100000,senior high school,1,2,False,True,True,8.31,OWNED,car
Dina Olivia,P,"Jl. Sudirman No. 4, Padang Panjang, Sumatera Barat",2015-03-18,56390592,2519784456,Rizal Effendi,085383220192,1,2026/2027,66,9,6,19,66,88.55,0,0,9800000,2600000,bachelor,1,2,False,False,False,14.39,OWNED,car
Dinda Hauw,P,"Jl. Jend. Sudirman No. 19, Pariaman, Sumatera Barat",2015-06-23,92417464,2518074660,Kemasan Herman,086816877713,1,2026/2027,82,4,5,9,82,89.18,0,0,8900000,2400000,bachelor,2,4,False,False,True,12.66,WITH_RELATIVES,car
Dwi Utami,P,"Jl. K.S. Tubun No. 8, Solok, Sumatera Barat",2015-11-27,63394422,2512779342,Zulkarnain,080269031485,1,2026/2027,69,4,2,25,69,92.28,1,2,7000000,7700000,senior high school,1,1,False,True,False,4.7,WITH_RELATIVES,motorcycle
